idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
14526,0.1380155721003866,0.13330524399067578,0.1288236065614037,0.11669167010766818,0.099027129492423,0.07302971645248965
31183,0.14720365546089043,0.14265650581153436,0.1380486551950183,0.12491624726017868,0.10681974707630965,0.07786393038376567
44047,0.11146411735324246,0.10792574532308946,0.1044965814983602,0.0944344079483727,0.08037042179600987,0.058131621395568725
38913,0.12267330871240603,0.11828620512807164,0.11469831001738245,0.10378217226772678,0.08757352981064334,0.06385168849268444
29569,0.11352958603795205,0.1097460317602149,0.10597964494950989,0.09558233033837732,0.0809901744345213,0.05910136183324073
3519,0.14274919635290334,0.13840359108462236,0.13328396353465202,0.12133820233011523,0.10364813079526047,0.07561141915064307
14791,0.11711627418059672,0.11317487383475335,0.10972492066554673,0.09904846998511276,0.08439845963785626,0.061455710351173344
34498,0.12789565698170116,0.12373757087672053,0.11942795167955787,0.10862279337144821,0.09201462214859661,0.06705884034653281
9109,0.1260170165898771,0.12165185884486893,0.11789002716894537,0.10624487347695936,0.09024501855999692,0.06536104331231166
23166,0.12206349722604742,0.11791466505543806,0.11352673339861594,0.10256357731035096,0.08711546051454808,0.06346873429538165
17112,0.13522461813267883,0.13115222980862626,0.12642115014788985,0.11423161158288966,0.09741156315939634,0.07047876036182944
31862,0.16874609079224523,0.1639750420370863,0.15870910272324223,0.14401524698786775,0.122378172640093,0.08924279021188741
7703,0.10425640784870815,0.100383731670419,0.09715174625802692,0.0875643866107045,0.07377602711601806,0.05431085879564003
25774,0.17177088722866324,0.16602800861217962,0.16070655016616306,0.1461724873531398,0.12495696023369031,0.09145024299062261
30013,0.14180027586899963,0.13746197210029887,0.13261576248833748,0.12037554245564988,0.1023250823459277,0.0748782887172953
20000,0.1484260123281928,0.14467232477034553,0.13982582429088464,0.1262931184898848,0.10725239220812093,0.07879563004014034
32037,0.16124777361474446,0.15599719491367764,0.15095807645694093,0.1371281873980675,0.11723038079664296,0.08584194740906678
39570,0.10162686979531792,0.0982200541426819,0.09517088988713207,0.08556101755492224,0.0724811990071463,0.053127220275621556
26101,0.1489514289560773,0.14468634987409795,0.1393706697775117,0.12691001450525208,0.10779162063529144,0.07891082653176204
30429,0.11457009095123233,0.11049868114029053,0.10613593953470363,0.09663027723545602,0.08239268980514404,0.059636703964890826
6432,0.11018357713810453,0.1063823662320052,0.10314449425855281,0.09297001626885505,0.07896283159238048,0.057727861528916714
7594,0.14171561772713406,0.13711493285782295,0.13242632165242624,0.1199095959099025,0.10185763630847709,0.07484992342115784
40188,0.12542572342386782,0.12178590677266597,0.1174753130308421,0.10663436452299897,0.0905778393437703,0.06637816806395082
