idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
36744,0.12284739396038205,0.12692679735931378,0.13123904918443005,0.14511991880391006,0.1714525512609429,0.23587852046279661
2165,0.12208532269781537,0.1262516560515816,0.13078708601007638,0.14418110499260475,0.16994505760065318,0.2336519615243138
5870,0.11235465285618532,0.11633120435250362,0.12070882176707448,0.13301192645439877,0.15749253078484024,0.21806402440363176
15281,0.12765085908967788,0.13262915405125644,0.13693812909836192,0.15093487364915287,0.17777652721375398,0.24371450231110972
1752,0.13662905261706976,0.1413501247243578,0.1457077696038844,0.16086713782200535,0.18840465184581906,0.2560537116999505
21408,0.12646201522063227,0.13080084600151656,0.1352180284455365,0.1494709554400873,0.17626700031404216,0.24233794533145137
19911,0.19193360988304356,0.1980301880333704,0.20500459300503068,0.22467166284108803,0.2612364788715721,0.34611778252275555
41356,0.11680043508027772,0.12036965118673869,0.12459296124123409,0.13802094185515082,0.1629382054115548,0.22542940427680677
16696,0.12339351101612017,0.12727188329332936,0.13180080159189148,0.14548392942503827,0.1717561391811216,0.2350692209445049
23086,0.12633579423251154,0.13088916795978942,0.13541997886529641,0.149724794616103,0.17665341513752109,0.24207297727635568
35588,0.14716903487840044,0.1519179991242989,0.15708235290569725,0.17337673584727234,0.2037737089285111,0.2766414254463612
33613,0.15632448723219647,0.16136808993182547,0.16652742590447628,0.18355916541236506,0.2146347162101763,0.289471402009287
